Ligaments-1,Ligaments-2,Ligaments-3,Ligaments-4,Ligaments-5,Ligaments-6,Ligaments-7,Ligaments-8,Ligaments-9,Ligaments-10
,,Ulnar collateral ligament of wrist joint.l,Dorsal tarsometatarsal ligaments.r,Posterior meniscotibial ligament (Medial meniscus).r,,,,,
,,Radial collateral ligament of wrist joint.l,Dorsal tarsometatarsal ligaments.l,Medial meniscus.l,,,,,
,,Ulnar collateral ligament of wrist joint.r,Collateral metatarsophalangeal ligaments.r,Medial meniscus.r,,,,,
,,Radial collateral ligament of wrist joint.r,Collateral metatarsophalangeal ligaments.l,Posterior tibiotalar ligament.l,,,,,
,,Radiate carpal ligament.l,Collateral interphalangeal ligaments of foot.r,Posterior tibiotalar ligament.r,,,,,
,,Radiate carpal ligament.r,Collateral interphalangeal ligaments of foot.l,,,,,,
,,Anterior tibiofibular ligament.l,Tibionavicular ligament.l,,,,,,
,,Posterior tibiofibular ligament.l,Tibiocalcaneal ligament.l,,,,,,
,,Anterior tibiofibular ligament.r,Tibionavicular ligament.r,,,,,,
,,Posterior tibiofibular ligament.r,Tibiocalcaneal ligament.r,,,,,,
,,Zona orbicularis.l,Dorsal intercuneiform ligaments.l,,,,,,
,,Zona orbicularis.r,Dorsal intercuneiform ligaments.r,,,,,,
,,Ligament of head of femur.l,Deep transverse metatarsal ligament.l,,,,,,
,,Ligament of head of femur.r,Deep transverse metatarsal ligament.r,,,,,,
,,Lateral meniscus.l,,,,,,,
,,Lateral meniscus.r,,,,,,,
,,Fibular collateral ligament.l,,,,,,,
,,Fibular collateral ligament.r,,,,,,,
,,Deep part of tibial collateral ligament.l,,,,,,,
,,Deep part of tibial collateral ligament.r,,,,,,,
