Head,Neck,Left upper limb,Right upper limb,Left lower limb,Right lower limb,Cranium,Back,Fasciae,Arteries of heart,Cardiac veins,Pulmonary arteries,Pulmonary veins,Systemic arteries,Systemic veins,Neurocranium,Viscerocranium,Trunk,Thorax,Digestive canal,Bones of left foot,Bones of right foot,Bones of left hand,Bones of right hand,Cartilages,Regions of trunk,Digestive system,Spinal cord,Bursae,Tendon sheaths,Mandible,Maxilla,Axial skeleton,Appendicular skeleton,Spine
Incus.r,Median cricothyroid ligament,Middle phalanx of fifth finger of hand.l,Fourth metacarpal bone.r,Middle phalanx of third finger of foot.l,Middle phalanx of third finger of foot.r,Upper medial incisor.r,Nucleus pulposus T1-T2,Lateral intermuscular septum of arm.r,,,Apical segmental artery of left lung,Lingular vein of left lung,Anterior segmental artery of left lung,Inferior vein of left ventricle (//Posterior ''),,Lower canine.r,Nucleus pulposus C6-C7,Costal cartilage of fifth rib.r,,Middle phalanx of fourth finger of foot.l,Middle phalanx of fourth finger of foot.r,Capitate bone.l,Capitate bone.r,Costal cartilage of 10th rib.r,Interscapular region.r,Submandibular duct.l,Posterior spinocerebellar tract,Subcutaneous trochanteric bursa.l,Tendon sheath of extensor digitorum and extensor indicis.r,,,Stapes.r,Distal phalanx of third finger of foot.r,Vertebra L2
Stapes.r,Cricopharyngeal ligament.r,Proximal phalanx of first finger of hand.l,Fifth metacarpal bone.r,Middle phalanx of fourth finger of foot.l,Middle phalanx of fourth finger of foot.r,Upper lateral incisor.r,Nucleus pulposus C7-T1,Deltoid fascia.r,,,Posterior segmental artery of left lung,,Superior segmental artery of left lung,Coronary sinus,,Upper medial incisor.l,Supraspinous ligament,Costal cartilage of sixth rib.r,,Middle phalanx of fifth finger of foot.l,Middle phalanx of fifth finger of foot.r,Hamate bone.l,Hamate bone.r,Costal cartilage of ninth rib.r,Scapular region.r,Submandibular duct.r,Anterior spinocerebellar tract,Trochanteric bursa of gluteus medius muscle.r,Tendon sheath of extensor digitorum and extensor indicis.l,,,Upper medial incisor.r,Middle phalanx of second finger of foot.r,Vertebra L4
Upper medial incisor.r,Cricopharyngeal ligament.l,Proximal phalanx of second finger of hand.l,Capitate bone.r,Middle phalanx of fifth finger of foot.l,Middle phalanx of fifth finger of foot.r,Upper canine.r,Nucleus pulposus C6-C7,Brachial fascia.r,,,Anterior segmental artery of left lung,,Lateral basal segmental artery of left lung,Inferior vein of left ventricle,,Upper lateral incisor.l,Intra-articular ligament of head of rib,Costal cartilage of seventh rib.r,,Proximal phalanx of first finger of foot.l,Proximal phalanx of first finger of foot.r,Lunate bone.l,Lunate bone.r,Costal cartilage of first rib.l,Triangle of auscultation.r,Tongue,Tectospinal tract,Trochanteric bursa of gluteus maximus muscle.r,Tendon sheath of tibialis anterior.r,,,Upper lateral incisor.r,Middle phalanx of third finger of foot.r,Vertebra L5
Upper lateral incisor.r,Interspinous ligaments,Proximal phalanx of third finger of hand.l,Hamate bone.r,Proximal phalanx of first finger of foot.l,Proximal phalanx of first finger of foot.r,Upper first premolar.r,Supraspinous ligament,Antebrachial fascia.r,,,Lateral basal segmental artery of left lung,,Posterior basal segmental artery of left lung,Accessory hemi-azygos vein,,Upper canine.l,Intervertebral disc C6-C7,Costal cartilage of eighth rib.r,,Proximal phalanx of second finger of foot.l,Proximal phalanx of second finger of foot.r,Pisiform bone.l,Pisiform bone.r,Costal cartilage of second rib.l,Vertebral region.r,Mouth.g,Lateral intermediate substance,Trochanteric bursa of gluteus maximus muscle.l,Tendon sheath of extensor hallucis longus.r,,,Upper canine.r,Middle phalanx of fourth finger of foot.r,Vertebra L3
Upper canine.r,Anterior longitudinal ligament,Proximal phalanx of fourth finger of hand.l,Lunate bone.r,Proximal phalanx of second finger of foot.l,Proximal phalanx of second finger of foot.r,Upper second premolar.r,Intervertebral disc C6-C7,Dorsal fascia of hand.r,,,Posterior basal segmental artery of left lung,,Medial basal segmental artery of left lung,Left ascending lumbar vein,,Lower medial incisor.l,Intervertebral disc C7-T1,Costal cartilage of tenth rib.r,,Proximal phalanx of third finger of foot.l,Proximal phalanx of third finger of foot.r,Scaphoid bone.l,Scaphoid bone.r,Costal cartilage of third rib.l,Infrascapular region.l,Mouth.j,Posterior fasciculus proprius,Trochanteric bursa of gluteus medius muscle.l,Tendon sheath of extensor digitorum longus.r,,,Lower medial incisor.r,Middle phalanx of fifth finger of foot.r,Coccyx
Lower medial incisor.r,Posterior longitudinal ligament,Proximal phalanx of fifth finger of hand.l,Pisiform bone.r,Proximal phalanx of third finger of foot.l,Proximal phalanx of third finger of foot.r,Upper first molar tooth.r,Intervertebral disc C7-T1,Palmar aponeurosis.r,,,Medial basal segmental artery of left lung,,Anterior basal segmental artery of left lung,Hemi-azygos vein,,Lower lateral incisor.l,Intervertebral disc L1-L2,Costal cartilage of ninth rib.r,,Proximal phalanx of fourth finger of foot.l,Proximal phalanx of fourth finger of foot.r,Trapezium bone.l,Trapezium bone.r,Costal cartilage of fourth rib.l,Interscapular region.l,Fauces.g,Lateral fasciculus proprius,Trochanteric bursa of gluteus minimus muscle.r,Tendon sheath of tibialis anterior.l,,,Lower lateral incisor.r,Proximal phalanx of first finger of foot.r,Axis (C2)
Lower lateral incisor.r,Nuchal ligament,First metacarpal bone.l,Scaphoid bone.r,Proximal phalanx of fourth finger of foot.l,Proximal phalanx of fourth finger of foot.r,Upper second molar tooth.r,Intervertebral disc L1-L2,Medial intermuscular septum of arm.l,,,Anterior basal segmental artery of left lung,,Left pulmonary artery,Left subcostal vein,,Lower canine.l,Intervertebral disc L2-L3,Fifth rib.l,,Proximal phalanx of fifth finger of foot.l,Proximal phalanx of fifth finger of foot.r,Trapezoid bone.l,Trapezoid bone.r,Costal cartilage of fifth rib.l,Scapular region.l,Fauces.j,Posterior horn of spinal cord,Trochanteric bursa of gluteus minimus muscle.l,Tendon sheath of extensor hallucis longus.l,,,Lower canine.r,Proximal phalanx of second finger of foot.r,Sacrum
Lower canine.r,Intertransverse ligaments.r,Second metacarpal bone.l,Trapezium bone.r,Proximal phalanx of fifth finger of foot.l,Proximal phalanx of fifth finger of foot.r,Major alar cartilage.r,Intervertebral disc L2-L3,Lateral intermuscular septum of arm.l,,,Left pulmonary artery,,Right coronary artery,Azygos vein,,Upper first premolar.r,Intervertebral disc L3-L4,First rib.l,,Sesamoid bones of foot.l,Sesamoid bones of foot.r,Triquetrum bone.l,Triquetrum bone.r,Costal cartilage of sixth rib.l,Triangle of auscultation.l,Pharynx.g,Anterior fasciculus proprius,Bursa of piriformis muscle.r,Tendon sheath of extensor digitorum longus.l,,,Upper first premolar.r,Proximal phalanx of third finger of foot.r,Interspinous ligaments
Upper first premolar.r,Ligamenta flava,Third metacarpal bone.l,Trapezoid bone.r,Sesamoid bones of foot.l,Sesamoid bones of foot.r,Lateral process of nasal septal cartilage.r,Intervertebral disc L3-L4,Deltoid fascia.l,,,,,Circumflex artery of heart,Right ascending lumbar vein,,Upper second premolar.r,Intervertebral disc L4-L5,Fourth rib.l,,,,,,Costal cartilage of seventh rib.l,Vertebral region.l,Pharynx.j,Anterior horn of spinal cord,Bursa of piriformis muscle.l,Tendon sheath of flexor digitorum longus.r,,,Upper second premolar.r,Proximal phalanx of fourth finger of foot.r,Anterior longitudinal ligament
Upper second premolar.r,Intertransverse ligaments.l,Fourth metacarpal bone.l,Triquetrum bone.r,Anterior process of calcaneus.s,Femur.r,Nasal septal cartilage,Intervertebral disc L4-L5,Brachial fascia.l,,,,,Anterior interventricular artery,Right superior phrenic vein,,Upper first molar tooth.r,Intervertebral disc L5-S1,Second rib.l,,,,,,Costal cartilage of eighth rib.l,Inframammary region.r,Small intestine.g,Spinotectal tract,Sciatic bursa of obturator internus.r,Tendon sheath of tibialis posterior muscle.r,,,Upper first molar tooth.r,Proximal phalanx of fifth finger of foot.r,Posterior longitudinal ligament
