Muscles-1,Muscles-2,Muscles-3,Muscles-4,Muscles-5,Muscles-6,Muscles-7,Muscles-8,Muscles-9,Muscles-10
(Opponens digiti minimi muscle of foot).r,,Abductor hallucis.l,,Inferior gemellus muscle.l,Extensor digitorum longus.l,,,,Subtendinous bursa of sartorius muscle.l
Plantar interossei muscles.r,,Extensor hallucis brevis.l,,Superior gemellus muscle.l,Tendon of extensor digitorum longus.l,,,,Anserine bursa.r
Dorsal interossei muscles of foot.l,,External anal sphincter.r,,Vastus intermedius muscle.r,Soleus muscle.r,,,,Anserine bursa.l
Lumbrical muscles of foot.l,,External anal sphincter.l,,Vastus intermedius muscle.l,Soleus muscle.l,,,,Inferior subtendinous bursa of biceps femoris muscle.l
(Opponens digiti minimi muscle of foot).l,,,,Adductor magnus.r,Flexor digitorum brevis.r,,,,Medial subtendinous bursa of gastrocnemius muscle.r
Plantar interossei muscles.l,,,,Adductor magnus.l,Flexor digitorum brevis.l,,,,Lateral subtendinous bursa of gastrocnemius muscle.r
Tendinous arch of levator ani.r,,,,Fibularis brevis muscle.r,,,,,Medial subtendinous bursa of gastrocnemius muscle.l
Tendinous arch of levator ani.l,,,,Fibularis brevis muscle.l,,,,,Lateral subtendinous bursa of gastrocnemius muscle.l
Inguinal ligament.l,,,,Flexor digitorum longus.r,,,,,Semimembranosus bursa.r
Inguinal ligament.r,,,,Flexor hallucis longus.r,,,,,Semimembranosus bursa.l
,,,,Flexor digitorum longus.l,,,,,Subcutaneous bursa of lateral malleolus.r
,,,,Flexor hallucis longus.l,,,,,Subcutaneous bursa of medial malleolus.r
,,,,,,,,,Subcutaneous bursa of lateral malleolus.l
,,,,,,,,,Subcutaneous bursa of medial malleolus.l
,,,,,,,,,Subtendinous bursa of tibialis anterior.r
,,,,,,,,,Subcutaneous calcaneal bursa.r
,,,,,,,,,Subtendinous calcaneal bursa.r
,,,,,,,,,Subtendinous bursa of tibialis anterior.l
,,,,,,,,,Subcutaneous calcaneal bursa.l
,,,,,,,,,Subtendinous calcaneal bursa.l
,,,,,,,,,Intertubercular tendon sheath.r
,,,,,,,,,Intertubercular tendon sheath.l
,,,,,,,,,Tendon sheath of flexor pollicis longus.r
,,,,,,,,,Tendon sheath of flexor pollicis longus.l
,,,,,,,,,Tendon sheath of flexor carpi radialis.r
,,,,,,,,,Tendon sheath of flexor carpi radialis.l
,,,,,,,,,Common flexor tendon sheath.r
,,,,,,,,,Common flexor tendon sheath.l
,,,,,,,,,Tendon sheath - abd. pollicis longus - ext. pollicis brevis.l
,,,,,,,,,Tendon sheath of extensor carpi ulnaris.l
,,,,,,,,,Tendon sheath of extensor carpi ulnaris.r
,,,,,,,,,Synovial sheaths of digits of hand.r
,,,,,,,,,Tendon sheath of extensor digiti minimi manus.r
,,,,,,,,,Tendon sheath of extensor digiti minimi manus.l
,,,,,,,,,Tendon sheath of extensor pollicis longus.r
,,,,,,,,,Tendon sheath of extensor pollicis longus.l
,,,,,,,,,Tendon sheath - abd. pollicis longus - ext. pollicis brevis.r
,,,,,,,,,Tendon sheath of extensors carpi radialis.r
,,,,,,,,,Tendon sheath of extensors carpi radialis.l
,,,,,,,,,Synovial sheaths of digits of hand.l
,,,,,,,,,Tendon sheath of extensor digitorum and extensor indicis.r
,,,,,,,,,Tendon sheath of extensor digitorum and extensor indicis.l
,,,,,,,,,Tendon sheath of tibialis anterior.r
,,,,,,,,,Tendon sheath of extensor hallucis longus.r
,,,,,,,,,Tendon sheath of extensor digitorum longus.r
,,,,,,,,,Tendon sheath of tibialis anterior.l
,,,,,,,,,Tendon sheath of extensor hallucis longus.l
,,,,,,,,,Tendon sheath of extensor digitorum longus.l
,,,,,,,,,Tendon sheath of flexor digitorum longus.r
,,,,,,,,,Tendon sheath of tibialis posterior muscle.r
,,,,,,,,,Tendon sheath of flexor hallucis longus.r
,,,,,,,,,Tendon sheath of flexor digitorum longus.l
,,,,,,,,,Tendon sheath of tibialis posterior muscle.l
,,,,,,,,,Tendon sheath of flexor hallucis longus.l
,,,,,,,,,Common tendon sheath of fibularis muscles.r
,,,,,,,,,Common tendon sheath of fibularis muscles.l
,,,,,,,,,Plantar tendon sheath of fibularis longus muscle.r
,,,,,,,,,Plantar tendon sheath of fibularis longus muscle.l
,,,,,,,,,Cruciform part of fibrous sheath of digit of hand.r
,,,,,,,,,Cruciform part of fibrous sheath of digit of hand.l
