Arteries-1,Arteries-2,Arteries-3,Arteries-4,Arteries-5,Arteries-6,Arteries-7,Arteries-8,Arteries-9,Arteries-10
,Brachial artery.l,Deep brachial artery.r,Suprascapular artery.r,Superficial external pudendal artery.r,,,,,
,Dorsal digital arteries of foot.l,Radial collateral artery.r,Thoracodorsal artery.r,Obturator artery.r,,,,,
,Arcuate artery.l,Middle collateral artery.r,Internal pudendal artery.r,Obturator artery.l,,,,,
,Dorsalis pedis artery.l,Dorsal metacarpal arteries.r,Anterior spinal artery.r,Lateral pontine branches of basilar artery.l,,,,,
,Lateral tarsal artery.l,Dorsal carpal anastomosis.r,Subscapular artery.r,Medial pontine branches of basilar artery.l,,,,,
,Anterior tibial artery.l,(Ulnar recurrent artery).r,Circumflex scapular artery.r,Iliacus branch of iliolumbar artery.l,,,,,
,Fibular artery.l,Recurrent interosseous artery.r,Anterior spinal artery.l,Iliolumbar artery.l,,,,,
,Posterior tibial artery.l,Posterior interosseous artery.r,Posterior cerebral artery.l,Superficial external pudendal artery.l,,,,,
,Popliteal artery.l,Dorsal carpal branch of ulnar artery.r,Left testicular artery,,,,,,
,Femoral artery.l,Superior ulnar collateral artery.r,Subscapular artery.l,,,,,,
,Dorsal metatarsal arteries.l,Inferior ulnar collateral artery.r,Thoracodorsal artery.l,,,,,,
,Deep palmar arch.r,Anterior circumflex humeral artery.r,Circumflex scapular artery.l,,,,,,
,Radial artery.r,Posterior circumflex humeral artery.r,,,,,,,
,Ulnar artery.r,Medial circumflex femoral artery.r,,,,,,,
,Superficial palmar arch.r,Lateral circumflex femoral artery.r,,,,,,,
,Brachial artery.r,Perforating femoral arteries.r,,,,,,,
,Dorsal digital arteries of foot.r,Deep femoral artery.r,,,,,,,
,Arcuate artery.r,Medial plantar artery.r,,,,,,,
,Dorsalis pedis artery.r,Plantar arch.r,,,,,,,
,Lateral tarsal artery.r,Lateral plantar artery.r,,,,,,,
,Anterior tibial artery.r,Middle genicular arteries.r,,,,,,,
,Fibular artery.r,Superior phrenic arteries,,,,,,,
,Posterior tibial artery.r,Superior gluteal artery.r,,,,,,,
,Popliteal artery.r,Inferior gluteal artery.r,,,,,,,
,Femoral artery.r,Deep branch of transverse cervical artery.r,,,,,,,
,Dorsal metatarsal arteries.r,Anterior inferior cerebellar artery.l,,,,,,,
,Right common carotid artery,Superior cerebellar artery.l,,,,,,,
,Right subclavian artery,Anterior division of internal iliac artery.l,,,,,,,
,External iliac artery.r,Perforating femoral arteries.l,,,,,,,
,Common iliac artery.r,,,,,,,,
,Axillary artery.r,,,,,,,,
,Common iliac artery.l,,,,,,,,
