Nerves-1,Nerves-2,Nerves-3,Nerves-4,Nerves-5,Nerves-6,Nerves-7,Nerves-8,Nerves-9,Nerves-10
Vitreous body.l,Accessory nerve (XI).l,,,,,,,,Transverse occipital sulcus.l
Posterior segment of eyeball.l,Hypoglossal nerve (XII).l,,,,,,,,Transverse temporal gyri.l
Lacrimal gland.l,Abducens nerve (VI).l,,,,,,,,Temporal plane.l
Ampulla of lacrimal canaliculus.r,Trochlear nerve (IV).l,,,,,,,,Superior temporal gyrus (Lateral part).l
Lacrimal canaliculus.l,Posterior division of superior trunk of brachial plexus.l,,,,,,,,Lateral occipitotemporal gyrus.l
Lacrimal sac.l,Posterior division of middle trunk of brachial plexus.l,,,,,,,,Medial occipitotemporal gyrus (Parahippocampal*).l
Nasolacrimal duct.l,Posterior cord of brachial plexus.l,,,,,,,,Inferior temporal sulcus.l
Suspensory ligament of eyeball.l,Inferior alveolar nerve.l,,,,,,,,Inferior temporal gyrus.l
Tympanic membrane.l,Cochlear nerve.l,,,,,,,,Middle temporal gyrus.l
Sensory root of trigeminal nerve.l,Vestibular nerve.l,,,,,,,,Superior temporal sulcus.l
Nucleus of oculomotor nerve.l,Vestibulocochlear nerve (VIII).l,,,,,,,,Occipitotemporal sulcus (Lateral part*).l
Nucleus of abducens nerve.l,Stria medullaris thalami.l,,,,,,,,Insula (Subcentral gyrus and ant. and post. sulci*).l
Motor nucleus of facial nerve.l,Vagus nerve (X).l,,,,,,,,Cingulate gyrus and sulcus (Middle anterior part).l
Superior salivatory nucleus.l,Motor root of trigeminal nerve.l,,,,,,,,Cingulate gyrus and sulcus (Middle posterior part).l
Inferior salivatory nucleus.l,,,,,,,,,Cingulate gyrus and sulcus (Posterior dorsal part).l
Nucleus of trochlear nerve.l,,,,,,,,,Cingulate gyrus (Posteroventral part*).l
Nucleus of hypoglossal nerve.l,,,,,,,,,Dorsal digital branches of radial nerve.l
Vestibular nuclei.l,,,,,,,,,Inferior lateral brachial cutaneous nerve.l
Accessory nucleus of oculomotor nerve.l,,,,,,,,,Dorsal digital branches of ulnar nerve.l
Pyramid of medulla oblongata.l,,,,,,,,,Muscular branches of ulnar nerve.l
Olive.l,,,,,,,,,Muscular branches of median nerve.l
Anterior cochlear nucleus.l,,,,,,,,,Infrapatellar branch of saphenous nerve.l
Posterior cochlear nucleus.l,,,,,,,,,Sural communicating branch of common fibular nerve.l
Posterior nucleus of vagus nerve.l,,,,,,,,,Medial sural cutaneous nerve.l
Nucleus of solitary tract.l,,,,,,,,,Dorsal digital branches of superficial fibular nerve.l
Nucleus of accessory nerve.l,,,,,,,,,Dorsal digital branches of deep fibular nerve.l
Nucleus ambiguus.l,,,,,,,,,Proper plantar digital branches of medial plantar nerve.l
Vestibule.l,,,,,,,,,Lat_Fis-ant-Horizont.l
Cochlea.l,,,,,,,,,Lat_Fis-post.l
Posterior segment of eyeball.r,,,,,,,,,Posterior transverse collateral sulcus.l
Dilator pupillae.l,,,,,,,,,Sulcus interm_prim-Jensen.l
Dilator pupillae.r,,,,,,,,,Proper plantar digital branches of lateral plantar nerve.l
Cauda equina,,,,,,,,,Orbital part of inferior frontal gyrus.l
Gracile fasciculus,,,,,,,,,Orbital part of inferior frontal gyrus.r
Cuneate fasciculus,,,,,,,,,Temporal pole.r
Medial vestibulospinal tract,,,,,,,,,Occipital pole.r
Intermediomedial nucleus,,,,,,,,,Central sulcus.r
Nucleus proprius,,,,,,,,,Parieto-occipital sulcus.r
Intermediolateral nucleus,,,,,,,,,Subparietal sulcus.r
Spinal reticular process,,,,,,,,,Cingulate sulcus (Marginal part*).r
Lateral corticospinal tract,,,,,,,,,Circular sulcus of insula.r
Rubrospinal tract,,,,,,,,,Collateral sulcus.r
Lateral reticulospinal tract,,,,,,,,,Anterior occipital sulcus*.r
Lateral vestibulospinal tract,,,,,,,,,Opercular part of inferior frontal gyrus.r
Medial reticulospinal tract,,,,,,,,,Orbital part of  inferior frontal gyrus.r
Anterior corticospinal tract,,,,,,,,,Triangular part of inferior frontal gyrus.r
Anterior spinothalamic tract,,,,,,,,,Orbital gyri (Frontomarginal gyrus and sulcus*).r
Lateral spinothalamic tract,,,,,,,,,Paracentral gyrus and sulcus*.r
Posterolateral tract,,,,,,,,,Transverse frontopolar gyrus and sulcus*.r
Posterior spinocerebellar tract,,,,,,,,,Straight gyrus (Gyrus rectus).r
Anterior spinocerebellar tract,,,,,,,,,Lat_Fis-ant-Vertical.r
Tectospinal tract,,,,,,,,,Inferior frontal sulcus.r
Lateral intermediate substance,,,,,,,,,Middle frontal gyrus.r
Posterior fasciculus proprius,,,,,,,,,Orbital gyri.r
Lateral fasciculus proprius,,,,,,,,,Precentral gyrus.r
Posterior horn of spinal cord,,,,,,,,,Superior frontal gyrus.r
Anterior fasciculus proprius,,,,,,,,,Superior frontal sulcus.r
Anterior horn of spinal cord,,,,,,,,,Paracentral sulcus.r
Spinotectal tract,,,,,,,,,Orbital sulci (H-shaped orbital sulci*).r
Spinal ganglion.r,,,,,,,,,Orbital sulci (Lateral Orbital sulcus*).r
Spinal ganglion.l,,,,,,,,,Olfactory sulcus.r
Posterior root of spinal nerve.l,,,,,,,,,Precentral sulcus (inferior part)*.r
Posterior root of spinal nerve.r,,,,,,,,,Precentral sulcus (Superior part)*.r
Anterior root of spinal nerve.l,,,,,,,,,Angular gyrus.r
Anterior root of spinal nerve.r,,,,,,,,,Supramarginal gyrus.r
White matter of spinal cord,,,,,,,,,Postcentral gyrus.r
,,,,,,,,,Postcentral sulcus.r
,,,,,,,,,Precuneus.r
,,,,,,,,,Superior parietal lobule.r
,,,,,,,,,Intraparietal sulcus.r
,,,,,,,,,Inferior occipital gyrus and sulcus*.r
,,,,,,,,,Lingual gyrus.r
,,,,,,,,,Lateral occipital gyrus (Middle occipital gyrus*).r
,,,,,,,,,Calcarine sulcus.r
,,,,,,,,,Cuneus.r
,,,,,,,,,Superior occipital gyri.r
,,,,,,,,,Lunate sulcus.r
,,,,,,,,,Transverse occipital sulcus.r
,,,,,,,,,Transverse temporal gyri.r
,,,,,,,,,Proper plantar digital branches of medial plantar nerve.r
,,,,,,,,,Proper plantar digital branches of lateral plantar nerve.r
,,,,,,,,,Dorsal digital branches of radial nerve.r
,,,,,,,,,Dorsal digital branches of ulnar nerve.r
,,,,,,,,,Dorsal digital branches of superficial fibular nerve.r
,,,,,,,,,Dorsal digital branches of deep fibular nerve.r
